"Facility Name","NPDES ID","City","State","CWNS","Amount of Biosolids Generated","Management Practice Type(s)","Amount of Biosolids Managed - Land Applied","Amount of Biosolids Managed - Surface Disposal","Amount of Biosolids Managed - Incinerated","Amount of Biosolids Managed - Other Management Practice","Pathogen Class(es)"
"BRIDGEWATER W W T F","MAL100641","BRIDGEWATER","MA","25000230001","330","Land Application","330","","","","Class A"
"CITY OF ST. PETERS","MOL030970","ST. PETERS","MO","29001196002","782.88","Land Application","782.88","","","","Class A EQ"
"CITY OF NIXA","MOL028037","NIXA","MO","29003508001","332.1","Land Application","318.2","","","","Class B, Class A"
"SALINA, CITY OF","KSL038474","SALINA","KS","20001135001","837.9","Land Application","837.9","","","","Class B"
"POCATELLO, CITY OF","IDL021784","POCATELLO","ID","16000001001","1613","Land Application","1613","","","","Class B"
"ADDISON NORTH STP, VILLAGE OF","ILL033812","ADDISON","IL","17000161002","564","Land Application","564.363","","","","Class B"
"WELLSBORO MUN AUTH","PAL021687","WELLSBORO","PA","42002219001","105.71","Other Management Practice","","","","105.71","Not Applicable"
"CITY OF CLINTON","IAL035947","CLINTON","IA","19000162001","480","Land Application","480","","","","Class B"
"JEFFERSON COUNTY COMMISSION ENVIRONMENTAL SERVICES DEPARTMENT","ALL022926","BIRMINGHAM","AL","01000197007","180","Land Application","180","","","","Class B"
"TUPELO BAYOU WWTP","ARL051951","CONWAY","AR","05000014003","501.62","Land Application","501.62","","","","Class B"
"CITY OF DECORAH","IAL035220","DECORAH","IA","19001023002","106.75","Land Application","106.75","","","","Class B"
"JAMESTOWN (C) BOARD OF PUB UTILITIES","NYL027570","JAMESTOWN","NY","36009052001","666","Other Management Practice","","","","666","Class A"
"HARPETH VALLEY UTILITY DISTRIC","TNL074748","NASHVILLE","TN","47002024002","1068.55","Land Application","1068.55","","","","Class B"
"CITY OF ALEXANDER CITY","ALL048861","ALEXANDER CITY","AL","01000004001","131","Land Application","131","","","","Class B"
"MANCHESTER CITY OF","NHL100447","MANCHESTER","NH","33000051001","4156","Incineration","","","3647","",""
"BAYSHORE REGIONAL SEW AUTH","NJL155365","UNION BEACH","NJ","34002003001","2646.315","Incineration","","","2646.315","",""
"LAFAYETTE WWTP","INL032468","LAFAYETTE","IN","18000602001","2096.4","Land Application, Other Management Practice","1911.24","","","1021.297","Class B"
"MORGAN CITY, CITY OF","LAL065986","MORGAN CITY","LA","22000915001","81.06","Land Application","81.06","","","","Class A EQ"
"CITY OF HANNIBAL","MOL093513","HANNIBAL","MO","29001007001","311.32","Other Management Practice","","","","311.32","Class A EQ"
"TOWN OF WILLIAMSTON","NCL020044","WILLIAMSTON","NC","37005901001","32.22","Land Application","32.22","","","","Class B"
"CITY OF WINSTON-SALEM","NCL050342","WINSTON SALEM","NC","37003401002","1634","Land Application","1634","","","","Class A EQ"
"COLLEGE PLACE STP","WAL020656","COLLEGE PLACE","WA","53000235001","80.42","Other Management Practice","","","","80.42","Class B"
"CITY OF CHARITON","IAL028924","CHARITON","IA","19000140001","17.4","Land Application","17.3686","","","","Class B"
"HILLSBOROUGH COUNTY WATER DEPARTMENT","FLL041670","TAMPA","FL","12000520002","4253","Other Management Practice","","","","4253","Class A EQ, Class A"
"CITY OF LOGANVILLE WPCP","GAL020788","LOGANVILLE","GA","13000999027","617.46","Land Application","617.46","","","","Class B"
"SWEET HOME, CITY OF","ORL020346","SWEET HOME","OR","41000270001","221.11","Other Management Practice","","","","222.11","Not Applicable"
"LAMONT WWTP","CAL000433","LAMONT","CA","06005306001","0","Other Management Practice","","","","","Not Applicable"
"ROSELLE-J.L. DEVLIN STP","ILL030813","ROSELLE","IL","17000711005","142.89","Land Application","142.89","","","","Class B"
"HONOLULU SAND ISLAND WWTP","HIL020117","KAPOLEI","HI","15000003001","2404","Other Management Practice","","","","2404","Class A"
"DUNKIRK (C)","NYL027961","DUNKIRK","NY","36009046001","1730.2","Other Management Practice","","","","1730.2","Class A"
"OMAHA MISSOURI RIVER WWTF","NEL036358","OMAHA","NE","31001825001","7417.3","Land Application","7417.3","","","","Class B"
"RENSSELAER WWTP, CITY OF","INL024414","RENSSELAER","IN","18003070001","1394.2","Land Application","58.8","","","","Class B"
"COLORADO SPRINGS, CITY","COL026735","COLORADO SPRINGS","CO","08000001001","2143","Surface Disposal","","2143","","","Class B"
"WINDSOR TOWN OF","COL020320","WINDSOR","CO","08000114001","388","Land Application","388","","","","Class B"
"CARYVILLE-JACKSBORO UC STP","TNL026263","CARYVILLE","TN","47003023001","76.25","Land Application","76.25","","","","Class B"
"FRESNO-CLOVIS RWRF","CAL000406","FRESNO","CA","06005053001","17822","Land Application","17822","","","","Class B"
"UNIVERSITY OF CONNECTICUT","CTL101320","STORRS","CT","09002005001","157","Other Management Practice","","","","157","Not Applicable"
"SARANAC LAKE (V)","NYL021733","SARANAC LAKE","NY","36005029001","106.99","Other Management Practice","","","","93.15","Class B"
"MEDFORD TOWNSHIP STP","NJL026832","MEDFORD","NJ","34007290001","362.98","Land Application, Incineration","192.1431","","170.8398","","Class A"
"MARLBOROUGH EASTERLY WWTF","MAL100498","MARLBOROUGH","MA","25000008001","1434.8","Other Management Practice","","","","1434.8","Not Applicable"
"MUNCIE WATER POLLUTION CONTROL FACILITY","INL025631","MUNCIE","IN","18000506001","7617.93","Other Management Practice","","","","7617.93","Class B"
"DES MOINES METROPOLITAN WRA","IAL044130","DES MOINES","IA","19000226001","11942.6","Land Application","11942.6","","","","Class B"
"SHELBYVILLE WATER RESOURCE RECOVERY FACILITY","INL032867","SHELBYVILLE","IN","18000086001","460.48","Land Application","460.48","","","","Class B"
"MADISON WWTP","INL025666","MADISON","IN","18002130001","646.75","Land Application","646.75","","","","Class B"
"HARRISON, CITY OF","ARL034321","HARRISON","AR","05000109001","101.7","Land Application","112.1","","","","Class B"
"GENEVA (C)","NYL027049","GENEVA","NY","36008050001","252.48","Land Application","169.64","","","","Class A"
"WAVERLY WWTF","NEL024406","WAVERLY","NE","31002585001","81.9","Land Application","81.9","","","","Class B"
"SOMERSET W P C F","MAL100676","SOMERSET","MA","25000030001","384.96","Other Management Practice","","","","384.96","Not Applicable"
"ECW&SA/BROOKS STREET WWTP","SCL025330","EDGEFIELD","SC","45000608006","59.86","Surface Disposal","","59.86","","","Class B"
"CITY OF CUBA","MOL094919","CUBA","MO","29004999001","113.3","Land Application","113.3","","","","Class B"
"JERRY L RILEY STP","KYL104027","BARDSTOWN","KY","21000159002","1221","Land Application","1221","","","","Class B"
"CITY OF ALACHUA AWRF","FLL011290","ALACHUA","FL","12000511001","175.77","Land Application","175.77","","","","Class B"
"ORANGE COUNTY SD #1","CAL110604","FOUNTAIN VALLEY","CA","06008022001","27994","Other Management Practice, Land Application","5743","","","22252","Class B, Class A EQ"
"SOUTH GRANVILLE WATER & SEWER AUTHORITY","NCL026824","BUTNER","NC","37003905001","353.2","Land Application","353.2","","","","Class B"
"ORANGE COUNTY SD #2","CAL120604","FOUNTAIN VALLEY","CA","06008022002","17420","Other Management Practice, Land Application","10950","","","6470","Class A EQ, Class B"
"INLAND EMPIRE UTILITIES PLT 1","CAL105279","CHINO HILLS","CA","06008010001","8660","Other Management Practice","","","","8660","Class A"
"PIERRE, CITY OF (BIOSOLIDS)","SDL020176","PIERRE, CITY OF","SD","46000108001","3065.59","Other Management Practice","","","","3065.59","Class B"
"CITY OF HENDERSON","NCL020559","HENDERSON","NC","37009101001","390.36","Land Application","390.36","","","","Class B"
"SUNRISE NO 3 WWTP (SAWGRASS)","FLL042641","SUNRISE","FL","12000001035","1762.73","Other Management Practice","","","","1825.8","Class A EQ, Class A"
"MARTIN COUNTY UTILITIES NORTH WWTF","FLL043192","STUART","FL","12000281002","434.92","Other Management Practice","","","","434.92","Not Applicable"
"GREENSBURG WWTP","INL020133","GREENSBURG","IN","18004312001","610.8","Land Application","610.8","","","","Class B"
"PENNSVILLE SEWERAGE AUTHORITY","NJL021598","PENNSVILLE","NJ","34005086001","249.1","Other Management Practice","","","","249.1","Not Applicable"
"TOWN OF ENFIELD","NCL025402","ENFIELD","NC","37004202001","20.1","Land Application","20.1","","","","Class B"
"CITY OF EVANSDALE","IAL022004","EVANSDALE","IA","19000281001","96.41","Land Application","96.41","","","","Class B"
"TOWN OF AHOSKIE","NCL088561","AHOSKIE","NC","37004603001","90.29","Land Application","90.29","","","","Class B"
"MWRDGC CALUMET WRP","ILL028061","CHICAGO","IL","17000721009","20147","Land Application","14419","","","","Class B, Class A EQ"
"PUYALLUP STP","WAL037168","PUYALLUP","WA","53001030001","628.16","Land Application","628.16","","","","Class B"
"TOWN OF LOUISBURG","NCL020231","LOUISBURG","NC","37003505001","164.34","Land Application","164.34","","","","Class B"
"INLAND EMPIRE UTILITIES PLT 2","CAL105287","CHINO HILLS","CA","06008010002","4060","Other Management Practice","","","","4060","Class A"
"TOWN OF WARRENTON","NCL020834","WARRENTON","NC","37009303001","147.85","Land Application","147.85","","","","Class B"
"MONTICELLO STP","KYL033847","MONTICELLO","KY","21000292001","53.93","Land Application, Other Management Practice","47.6","","","6.3","Class B"
"MONTVILLE WPCA","CTL100935","UNCASVILLE","CT","09000860001","1834","Other Management Practice","","","","1834","Class B"
"ALGONQUIN STP, VILLAGE OF","ILL023329","ALGONQUIN","IL","17000665001","391.872","Land Application","391.872","","","","Class B"
"CITY OF PANAMA CITY BEACH","FLL021512","PANAMA CITY BEACH","FL","12000199001","1493.2","Land Application","926.42","","","","Class B"
"CITY OF CLINTON","NCL020117","CLINTON","NC","37008201001","527.29","Land Application","527.29","","","","Class B"
"ORANGEBURG WWTF","SCL024481","ORANGEBURG","SC","45000255001","515.3","Land Application, Other Management Practice","284.1","","","207.51","Class A EQ, Not Applicable"
"CITY OF AMES","IAL035955","AMES","IA","19000023001","704.7","Land Application","704.7","","","","Class B"
"HYRUM CITY CORP","UTL023205","HYRUM","UT","49000010001","118","Land Application","118","","","","Class B"
"MILLER CREEK WWTP","WAL022764","NORMANDY PARK","WA","53001211001","342.9","Land Application","342.9","","","","Class B"
"VICTOR VALLEY WRA WWTP","CAL102822","HESPERIA","CA","06006009001","1597","Land Application","1820","","","","Class A EQ"
"NIAGARA COUNTY SD NO.1","NYL027979","NIAGARA FALLS","NY","36009113001","1079","Other Management Practice","","","","1079","Class B"
"ROANOKE RAPIDS SANITARY DISTRICT","NCL024201","ROANOKE RAPIDS","NC","37004213001","601.17","Land Application","601.17","","","","Class B"
"OGDENSBURG (C)","NYL029831","OGDENSBURG","NY","36006113001","110.39","Other Management Practice","","","","110.39","Class A"
"BELLINGHAM STP","WAL023744","BELLINGHAM","WA","53000080001","4404","Incineration","","","4404","",""
"FRANKLIN COUNTY","NCL069311","LOUISBURG","NC","37003507001","164.9","Land Application","164.9","","","","Class B"
"BLOOMINGTON/NORMAL WRD STP","ILL027731","BLOOMINGTON","IL","17000512001","1471","Land Application","1137","","","","Class B"
"ROSEBURG URBAN SANITARY","ORL031356","ROSEBURG","OR","41000057001","398","Land Application","398.26","","","","Class B"
"PUNXSUTAWNEY BORO MUN AUTH","PAL020346","PUNXSTAWNEY","PA","42006166001","178","Other Management Practice","","","","178","Class B"
"CITY OF REPUBLIC","MOL022098","REPUBLIC","MO","29001130001","242.92","Land Application, Other Management Practice","45.576","","","91.607","Class B"
"CENTRAL MARIN SANITATION AGENCY WWTP","CAL038628","SAN RAFAEL","CA","06002044004","1286","Land Application, Other Management Practice","425","","","861","Class B, Class A EQ"
"TOWN OF TARBORO","NCL020605","TARBORO","NC","37003312001","284.92","Land Application","284.92","","","","Class B"
"MAYSVILLE STP","KYL020257","MAYSVILLE","KY","21000289001","214","Other Management Practice","","","","214","Class B"
"REWA/LOWER REEDY RIVER WWTP","SCL024261","GREENVILLE","SC","45000614006","1538.51","Other Management Practice, Land Application","921.17","","","637.1","Not Applicable, Class B"
"CLIFTON SANITATION DISTRICT","COL033791","CLIFTON","CO","08000160003","314.05","Surface Disposal, Other Management Practice","","124.41","","189.63","Class B"
"LACSD - JWPCP","CAL053813","WHITTIER","CA","06004009001","112105","Land Application, Other Management Practice","4457","","","107649","Class B, Class A EQ"
"MERCED WWTF","CAL079219","MERCED","CA","06005064001","1364.4","Land Application","1364.4","","","","Class B"
"WARMINSTER TOWNSHIP M.A. TRM P","PAL026166","WARMINSTER","PA","42000072001","906.9","Land Application","906.9","","","","Class B"
"FRANKLIN WWTP, CITY OF","INL021181","FRANKLIN","IN","18000052001","358.73","Land Application","358.78","","","","Class A"
"COATESVILLE WASTEWATER TP","PAL026859","COATSVILLE","PA","42000061001","1937","Land Application","2135","","","","Class B"
"LAFAYETTE CONSOLIDATED GOVERNMENT - NORTHEAST WWTP","LAL036391","LAFAYETTE","LA","22000700003","109.7","Land Application","109.7","","","","Class B"
"PLAYERS CLUB SOUTH WWTF","FLL044245","PONTE VEDRA BEACH","FL","12000172023","269.52","Land Application","255.46","","","","Class B"
"TRI-CITY SERVICE DISTRICT","ORL031259","OREGON CITY","OR","41000001002","1520","Other Management Practice, Land Application","1027","","","493","Class B"
"SALMON CREEK WWTP","WAL022772","BURIEN","WA","53001211002","281.5","Land Application","281.5","","","","Class B"
"CITY OF DUNN","NCL043176","DUNN","NC","37004304001","113.24","Land Application","113.24","","","","Class B"
"DONA ANA COUNTY UTILITIES DEPT","NML030490","LA MESA","NM","35200900004","470.79","Other Management Practice","","","","470.79","Not Applicable"
"SOUTHERLY WASTEWATER TRTMNT CTR, NEORSD","OHL024651","CUYAHOGA HEIGHTS","OH","39001666002","38533.64","Incineration, Other Management Practice","","","37446.95","1086.69","Not Applicable"
"HACKETTSTOWN MUA WPCP","NJL021369","WASHINGTON TWP","NJ","34008041001","269.34","Other Management Practice","","","","269.34","Not Applicable"
"JUNCTION CITY, CITY OF","KSL034011","JUNCTION CITY","KS","20000625001","623.61","Land Application","623.61","","","","Class B"
"CITY OF MANCHESTER","TNL025038","MANCHESTER","TN","47000895001","264","Land Application","264.33","","","","Class B"
"FLEMINGSBURG STP","KYL021229","FLEMINGSBURG","KY","21000226001","54","Other Management Practice","","","","54","Class B"
"MARSHALL","MNL022179","MARSHALL","MN","27000182001","691.6","Land Application","691.6","","","","Class A EQ"
"REDDING STILLWATER WWTP","CAL082589","ANDERSON","CA","06005098002","348.41","Other Management Practice","","","","348.41","Class B"
"REDDING CLEAR CREEK WWTP","CAL079731","REDDING","CA","06005098001","486.81","Other Management Practice","","","","486.81","Class B"
"FAIRFIELD-SUISUN WWTP","CAL038024","FAIRFIELD","CA","06002038001","2996","Other Management Practice","","","","2996","Class A EQ"
"BIG BEAR AREA RWA WWTP","CAL000344","BIG BEAR CITY","CA","06008007001","602.19","Land Application","600.44","","","","Class B"
"LAFAYETTE CONSOLIDATED GOVERNMENT - EAST WWTP","LAL036382","LAFAYETTE","LA","22000700002","286.6","Land Application","286.6","","","","Class B"
"CITY OF RALEIGH PUBLIC UTILITIES DEPARTMENT","NCL029033","RALEIGH","NC","37009201001","17919.82","Land Application, Other Management Practice","519.99","","","17399.83","Class B, Not Applicable"
"SOUTHBRIDGE W W T P/DEPT OF PUBLIC WORKS","MAL100901","SOUTHBRIDGE","MA","25000031001","533.24","Other Management Practice","","","","533.24","Class A EQ"
"WINNIPESAUKEE RIVER BASIN","NHL100960","FRANKLIN","NH","33000100003","270.09","Land Application","270.09","","","","Class B"
"BETHLEHEM (T)","NYL025739","DELMAR","NY","36004065001","634","Other Management Practice","","","","634","Not Applicable"
"CITY OF NAPLES PUBLIC WORKS UTILITIES DIVISION","FLL026271","NAPLES","FL","12000103001","800.37","Other Management Practice","","","","800.37","Class A EQ"
"DELL RAPIDS, CITY OF","SDL022101","DELL RAPIDS","SD","46000006001","76","Other Management Practice","","","","76","Not Applicable"
"CITY OF HAMLET","NCL047562","HAMLET","NC","37007701002","157.91","Land Application","157.91","","","","Class B"
"REED CREEK WPCP","GAL031992","MARTINEZ","GA","13000328002","379.19","Land Application","379.19","","","","Class B"
"VERNON WPCF","CTL100609","VERNON","CT","09001460001","1571","Other Management Practice","","","","1571","Not Applicable"
"CITY OF GRAHAM","NCL021211","GRAHAM","NC","37000102001","111.64","Land Application","111.64","","","","Class B"
"LEBANON STP","KYL026549","LEBANON","KY","21000305001","162","Land Application, Other Management Practice","159","","","3","Class B"
